state;pop18_29_democrat;pop30_44_democrat;pop45_64_democrat;pop65_democrat;pop18_29_republican;pop30_44_republican;pop45_64_republican;pop65_republican;division;region
Arizona;54;47;41;42;35;41;54;55;Mountain;West
California;66;67;57;61;23;27;39;36;Pacific;West
Colorado ;50;46;49;49;36;45;45;48;Mountain;West
Florida;54;54;43;40;36;39;56;57;South Atlantic;South
Georgia ;63;51;41;31;33;44;57;67;South Atlantic;South
Illinois;67;59;53;35;28;33;43;61;East North Central;Midwest
Indiana;46;37;34;39;46;57;63;58;East North Central;Midwest
Iowa ;42;38;43;47;48;52;53;51;West North Central;Midwest
Kentucky;34;29;33;37;59;66;63;61;East South Central;South
Maine;48;42;48;56;43;50;47;39;New England;Northeast
Michigan;57;44;44;47;34;48;52;51;East North Central;Midwest
Minnesota;45;53;42;49;42;39;52;47;West North Central;Midwest
Missouri;40;51;44;48;34;63;36;62;West North Central;Midwest
Nevada;52;52;40;52;35;40;54;47;Mountain;West
New Hampshire;49;47;46;49;41;43;51;49;New England;Northeast
New Jersey;61;57;54;47;30;40;44;49;Middle Atlantic;Northeast
New Mexico;52;48;45;53;27;38;46;42;Mountain;West
New York;71;63;53;53;24;33;43;53;Middle Atlantic;Northeast
North Carolina;57;49;43;37;35;46;55;60;South Atlantic;South
Ohio;51;42;40;43;42;51;56;56;East North Central;Midwest
Oregon;NaN;51;50;46;NaN;40;42;45;Pacific;West
Pennsylvania;52;53;45;44;43;42;52;54;Middle Atlantic;Northeast
South Carolina;43;44;37;39;43;51;62;58;South Atlantic;South
Texas;55;45;39;35;36;48;59;64;West South Central;South
Utah;33;32;26;18;35;38;51;65;Mountain;West
Virginia;54;53;47;45;36;40;50;52;South Atlantic;South
Washington;NaN;49;51;56;NaN;36;43;41;Pacific;West
Wisconsin;47;55;41;48;44;37;56;49;East North Central;Midwest
